manuscript,section,placeholder_text,zotero_title,zotero_authors,zotero_year,zotero_key_or_id,status
oxide_report,3.1 Zero-shot results,"[CITE: Choudhary et al. 2020 — JARVIS; Choudhary et al. 2024 — JARVIS-Leaderboard]","The joint automated repository for various integrated simulations (JARVIS) for data-driven materials design | JARVIS-Leaderboard: a large scale benchmark of materials design methods","Choudhary et al. | Choudhary et al.",2020 | 2024,TR6CHAD2 | ZNSBRAGX,RESOLVED_MULTI
oxide_report,4.2 What pretraining delivers,"[CITE: Lee & Asahi 2021; Kim et al. 2024]","Transfer learning for materials informatics using crystal graph convolutional neural network | Predicting melting temperature of inorganic crystals via crystal graph neural network enhanced by transfer learning","Lee & Asahi | Kim et al.",2021 | 2024,EIITR8T3 | E9PT9HW4,RESOLVED_MULTI
oxide_report,4.2 What pretraining delivers,"[CITE: Xie & Grossman 2018 — CGCNN; Choudhary & DeCost 2021 — ALIGNN; Choudhary et al. 2020 — JARVIS; Choudhary et al. 2024 — JARVIS-Leaderboard]","Crystal Graph Convolutional Neural Networks... | Atomistic Line Graph Neural Network... | The joint automated repository (JARVIS)... | JARVIS-Leaderboard...","Xie & Grossman | Choudhary & DeCost | Choudhary et al. | Choudhary et al.",2018 | 2021 | 2020 | 2024,4K3VGEUE | U9NHTD8R | TR6CHAD2 | ZNSBRAGX,RESOLVED_MULTI
oxide_report,4.2 What pretraining delivers,"[CITE: Choudhary et al. 2024 — JARVIS-Leaderboard]","JARVIS-Leaderboard: a large scale benchmark of materials design methods","Choudhary et al.",2024,ZNSBRAGX,RESOLVED
oxide_report,4.3 Why oxide is easier,"[CITE: Choudhary et al. 2020 — JARVIS; Choudhary & DeCost 2021 — ALIGNN]","The joint automated repository for various integrated simulations (JARVIS) for data-driven materials design | Atomistic Line Graph Neural Network for improved materials property predictions","Choudhary et al. | Choudhary & DeCost",2020 | 2021,TR6CHAD2 | U9NHTD8R,RESOLVED_MULTI
oxide_report,4.4 Embedding view,"[CITE: Choudhary & DeCost 2021; Choudhary 2025]","Atomistic Line Graph Neural Network for improved materials property predictions | The JARVIS Infrastructure is All You Need for Materials Design","Choudhary & DeCost | Choudhary",2021 | 2025,U9NHTD8R | WD6C24D9,RESOLVED_MULTI
oxide_report,4.4 Embedding view,"[CITE: Omee et al. 2024; Li et al. 2025 — OOD; Hu et al. 2024]","Structure-based out-of-distribution (OOD) materials property prediction: a benchmark study | Probing out-of-distribution generalization in machine learning for materials | Realistic material property prediction using domain adaptation based machine learning","Omee et al. | Li et al. (Kangming) | Hu et al.",2024 | 2025 | 2024,VNA4JJ3A | QGDLHVAF | NLBNY4TV,RESOLVED_MULTI
oxide_report,4.4 Embedding view,"[CITE: van der Maaten & Hinton 2008; McInnes et al. 2018]","Visualizing Data using t-SNE | UMAP: Uniform Manifold Approximation and Projection for Dimension Reduction","van der Maaten & Hinton | McInnes et al.",2008 | 2018,HQBXJ4GH | N7UREDXA,NEEDS_REVIEW
nitride_report,1. Introduction,"[CITE: crystal graph baseline for materials property prediction]","Graph Networks as a Universal Machine Learning Framework for Molecules and Crystals","Chen et al.",2019,DKG62IFQ,NEEDS_REVIEW
nitride_report,1. Introduction,"[CITE: CGCNN foundational paper]","Crystal Graph Convolutional Neural Networks for an Accurate and Interpretable Prediction of Material Properties","Xie & Grossman",2018,4K3VGEUE,RESOLVED
nitride_report,1. Introduction,"[CITE: ALIGNN foundational paper]","Atomistic Line Graph Neural Network for improved materials property predictions","Choudhary & DeCost",2021,U9NHTD8R,RESOLVED
nitride_report,1. Introduction,"[CITE: JARVIS dataset/repository paper]","The joint automated repository for various integrated simulations (JARVIS) for data-driven materials design","Choudhary et al.",2020,TR6CHAD2,RESOLVED
nitride_report,1. Introduction,"[CITE: transfer learning in materials informatics]","Transfer learning for materials informatics using crystal graph convolutional neural network | Predicting melting temperature of inorganic crystals via crystal graph neural network enhanced by transfer learning","Lee & Asahi | Kim et al.",2021 | 2024,EIITR8T3 | E9PT9HW4,NEEDS_REVIEW
nitride_report,1. Introduction,"[CITE: domain shift or OOD benchmark in materials property prediction]","Structure-based out-of-distribution (OOD) materials property prediction: a benchmark study | Probing out-of-distribution generalization in machine learning for materials | Out-of-Distribution Material Property Prediction Using Adversarial Learning | Realistic material property prediction using domain adaptation based machine learning","Omee et al. | Li et al. (Kangming) | Li et al. (Qinyang) | Hu et al.",2024 | 2025 | 2025 | 2024,VNA4JJ3A | QGDLHVAF | 7STQCC9U | NLBNY4TV,NEEDS_REVIEW
nitride_report,2.1 Dataset and prediction target,"[CITE: JARVIS 2020 dataset/repository paper]","The joint automated repository for various integrated simulations (JARVIS) for data-driven materials design","Choudhary et al.",2020,TR6CHAD2,RESOLVED
nitride_report,2.3 Split protocol and subset construction,"[CITE: JARVIS 2020 dataset/repository paper]","The joint automated repository for various integrated simulations (JARVIS) for data-driven materials design","Choudhary et al.",2020,TR6CHAD2,RESOLVED
nitride_report,2.4 Zero-shot evaluation,"[CITE: ALIGNN foundational paper]","Atomistic Line Graph Neural Network for improved materials property predictions","Choudhary & DeCost",2021,U9NHTD8R,RESOLVED
nitride_report,2.5 Fine-tuning and from-scratch protocols,"[CITE: ALIGNN foundational paper]","Atomistic Line Graph Neural Network for improved materials property predictions","Choudhary & DeCost",2021,U9NHTD8R,RESOLVED
nitride_report,3.6 Supporting evidence (pretrained vs scratch),"[CITE: Lee2021_TransferCGCNN; Hu2024_DomainAdaptation]","Transfer learning for materials informatics using crystal graph convolutional neural network | Realistic material property prediction using domain adaptation based machine learning","Lee & Asahi | Hu et al.",2021 | 2024,EIITR8T3 | NLBNY4TV,RESOLVED_MULTI
nitride_report,4.2 What pretraining helps with on nitrides,"[CITE: Lee & Asahi 2021; Kim et al. 2024]","Transfer learning for materials informatics using crystal graph convolutional neural network | Predicting melting temperature of inorganic crystals via crystal graph neural network enhanced by transfer learning","Lee & Asahi | Kim et al.",2021 | 2024,EIITR8T3 | E9PT9HW4,RESOLVED_MULTI
nitride_report,4.2 What pretraining helps with on nitrides,"[CITE: Lee & Asahi 2021; Hu et al. 2024]","Transfer learning for materials informatics using crystal graph convolutional neural network | Realistic material property prediction using domain adaptation based machine learning","Lee & Asahi | Hu et al.",2021 | 2024,EIITR8T3 | NLBNY4TV,RESOLVED_MULTI
nitride_report,4.3 Why nitride is harder,"[CITE: Omee et al. 2024; Li et al. 2025 — OOD; Li et al. 2025 — adversarial; Hu et al. 2024]","Structure-based out-of-distribution (OOD) materials property prediction: a benchmark study | Probing out-of-distribution generalization in machine learning for materials | Out-of-Distribution Material Property Prediction Using Adversarial Learning | Realistic material property prediction using domain adaptation based machine learning","Omee et al. | Li et al. (Kangming) | Li et al. (Qinyang) | Hu et al.",2024 | 2025 | 2025 | 2024,VNA4JJ3A | QGDLHVAF | 7STQCC9U | NLBNY4TV,RESOLVED_MULTI
nitride_report,4.3 Why nitride is harder,"[CITE: Omee et al. 2024; Li et al. 2025 — OOD; Hu et al. 2024]","Structure-based out-of-distribution (OOD) materials property prediction: a benchmark study | Probing out-of-distribution generalization in machine learning for materials | Realistic material property prediction using domain adaptation based machine learning","Omee et al. | Li et al. (Kangming) | Hu et al.",2024 | 2025 | 2024,VNA4JJ3A | QGDLHVAF | NLBNY4TV,RESOLVED_MULTI
nitride_report,4.4 What the embedding analysis adds,"[CITE: Choudhary & DeCost 2021; Choudhary 2025]","Atomistic Line Graph Neural Network for improved materials property predictions | The JARVIS Infrastructure is All You Need for Materials Design","Choudhary & DeCost | Choudhary",2021 | 2025,U9NHTD8R | WD6C24D9,RESOLVED_MULTI
nitride_report,4.4 What the embedding analysis adds,"[CITE: Omee et al. 2024; Li et al. 2025 — OOD; Li et al. 2025 — adversarial]","Structure-based out-of-distribution (OOD) materials property prediction: a benchmark study | Probing out-of-distribution generalization in machine learning for materials | Out-of-Distribution Material Property Prediction Using Adversarial Learning","Omee et al. | Li et al. (Kangming) | Li et al. (Qinyang)",2024 | 2025 | 2025,VNA4JJ3A | QGDLHVAF | 7STQCC9U,RESOLVED_MULTI
nitride_report,4.4 What the embedding analysis adds,"[CITE: van der Maaten & Hinton 2008; McInnes et al. 2018]","Visualizing Data using t-SNE | UMAP: Uniform Manifold Approximation and Projection for Dimension Reduction","van der Maaten & Hinton | McInnes et al.",2008 | 2018,HQBXJ4GH | N7UREDXA,NEEDS_REVIEW
nitride_report,4.5 Practical implications,"[CITE: Omee et al. 2024; Li et al. 2025 — OOD]","Structure-based out-of-distribution (OOD) materials property prediction: a benchmark study | Probing out-of-distribution generalization in machine learning for materials","Omee et al. | Li et al. (Kangming)",2024 | 2025,VNA4JJ3A | QGDLHVAF,RESOLVED_MULTI
combined_report,I. Introduction,"[CITE: crystal graph baseline for materials property prediction]","Graph Networks as a Universal Machine Learning Framework for Molecules and Crystals","Chen et al.",2019,DKG62IFQ,NEEDS_REVIEW
combined_report,I. Introduction,"[CITE: CGCNN foundational paper]","Crystal Graph Convolutional Neural Networks for an Accurate and Interpretable Prediction of Material Properties","Xie & Grossman",2018,4K3VGEUE,RESOLVED
combined_report,I. Introduction,"[CITE: ALIGNN foundational paper]","Atomistic Line Graph Neural Network for improved materials property predictions","Choudhary & DeCost",2021,U9NHTD8R,RESOLVED
combined_report,I. Introduction,"[CITE: JARVIS dataset/repository paper]","The joint automated repository for various integrated simulations (JARVIS) for data-driven materials design","Choudhary et al.",2020,TR6CHAD2,RESOLVED
combined_report,I. Introduction,"[CITE: transfer learning in materials informatics]","Transfer learning for materials informatics using crystal graph convolutional neural network | Predicting melting temperature of inorganic crystals via crystal graph neural network enhanced by transfer learning","Lee & Asahi | Kim et al.",2021 | 2024,EIITR8T3 | E9PT9HW4,NEEDS_REVIEW
combined_report,I. Introduction,"[CITE: domain shift or OOD benchmark in materials property prediction]","Structure-based out-of-distribution (OOD) materials property prediction: a benchmark study | Probing out-of-distribution generalization in machine learning for materials | Out-of-Distribution Material Property Prediction Using Adversarial Learning | Realistic material property prediction using domain adaptation based machine learning","Omee et al. | Li et al. (Kangming) | Li et al. (Qinyang) | Hu et al.",2024 | 2025 | 2025 | 2024,VNA4JJ3A | QGDLHVAF | 7STQCC9U | NLBNY4TV,NEEDS_REVIEW
combined_report,II.2.1 Study design and dataset,"[CITE: ALIGNN foundational paper]","Atomistic Line Graph Neural Network for improved materials property predictions","Choudhary & DeCost",2021,U9NHTD8R,RESOLVED
combined_report,II.2.1 Study design and dataset,"[CITE: JARVIS 2020 dataset/repository paper]","The joint automated repository for various integrated simulations (JARVIS) for data-driven materials design","Choudhary et al.",2020,TR6CHAD2,RESOLVED
combined_report,II.2.3 Split inheritance and subset construction,"[CITE: JARVIS 2020 dataset/repository paper]","The joint automated repository for various integrated simulations (JARVIS) for data-driven materials design","Choudhary et al.",2020,TR6CHAD2,RESOLVED
combined_report,II.2.4 Zero-shot baseline,"[CITE: ALIGNN foundational paper]","Atomistic Line Graph Neural Network for improved materials property predictions","Choudhary & DeCost",2021,U9NHTD8R,RESOLVED
combined_report,II.2.7 Hyperparameter setting and model specification,"[CITE: ALIGNN foundational paper]","Atomistic Line Graph Neural Network for improved materials property predictions","Choudhary & DeCost",2021,U9NHTD8R,RESOLVED
combined_report,III.3.1 Oxide zero-shot MAE results,"[CITE: Choudhary & DeCost 2021 — ALIGNN]","Atomistic Line Graph Neural Network for improved materials property predictions","Choudhary & DeCost",2021,U9NHTD8R,RESOLVED
combined_report,III.3.1 Oxide zero-shot MAE results,"[CITE: Choudhary et al. 2020 — JARVIS; Choudhary et al. 2024 — JARVIS-Leaderboard]","The joint automated repository for various integrated simulations (JARVIS) for data-driven materials design | JARVIS-Leaderboard: a large scale benchmark of materials design methods","Choudhary et al. | Choudhary et al.",2020 | 2024,TR6CHAD2 | ZNSBRAGX,RESOLVED_MULTI
combined_report,IV.4.6 Supporting evidence (pretrained vs scratch),"[CITE: Lee2021_TransferCGCNN; Hu2024_DomainAdaptation]","Transfer learning for materials informatics using crystal graph convolutional neural network | Realistic material property prediction using domain adaptation based machine learning","Lee & Asahi | Hu et al.",2021 | 2024,EIITR8T3 | NLBNY4TV,RESOLVED_MULTI
combined_report,V.III.C Transfer-benefit contrast (pretrained vs scratch),"[CITE: Lee & Asahi 2021; Kim et al. 2024]","Transfer learning for materials informatics using crystal graph convolutional neural network | Predicting melting temperature of inorganic crystals via crystal graph neural network enhanced by transfer learning","Lee & Asahi | Kim et al.",2021 | 2024,EIITR8T3 | E9PT9HW4,RESOLVED_MULTI
combined_report,VI.A Embedding implementation,"[CITE: van der Maaten & Hinton 2008; McInnes et al. 2018]","Visualizing Data using t-SNE | UMAP: Uniform Manifold Approximation and Projection for Dimension Reduction","van der Maaten & Hinton | McInnes et al.",2008 | 2018,HQBXJ4GH | N7UREDXA,NEEDS_REVIEW
combined_report,VII.2 What pretraining helps with,"[CITE: Lee & Asahi 2021; Kim et al. 2024]","Transfer learning for materials informatics using crystal graph convolutional neural network | Predicting melting temperature of inorganic crystals via crystal graph neural network enhanced by transfer learning","Lee & Asahi | Kim et al.",2021 | 2024,EIITR8T3 | E9PT9HW4,RESOLVED_MULTI
combined_report,VII.2 What pretraining helps with,"[CITE: Lee & Asahi 2021; Kim et al. 2024; Hu et al. 2024]","Transfer learning for materials informatics using crystal graph convolutional neural network | Predicting melting temperature of inorganic crystals via crystal graph neural network enhanced by transfer learning | Realistic material property prediction using domain adaptation based machine learning","Lee & Asahi | Kim et al. | Hu et al.",2021 | 2024 | 2024,EIITR8T3 | E9PT9HW4 | NLBNY4TV,RESOLVED_MULTI
combined_report,VII.3 What chemical-family mismatch costs,"[CITE: Omee et al. 2024; Li et al. 2025 — OOD; Li et al. 2025 — adversarial; Hu et al. 2024]","Structure-based out-of-distribution (OOD) materials property prediction: a benchmark study | Probing out-of-distribution generalization in machine learning for materials | Out-of-Distribution Material Property Prediction Using Adversarial Learning | Realistic material property prediction using domain adaptation based machine learning","Omee et al. | Li et al. (Kangming) | Li et al. (Qinyang) | Hu et al.",2024 | 2025 | 2025 | 2024,VNA4JJ3A | QGDLHVAF | 7STQCC9U | NLBNY4TV,RESOLVED_MULTI
combined_report,VII.4 Why oxide is easier,"[CITE: Choudhary et al. 2020 — JARVIS; Choudhary & DeCost 2021 — ALIGNN]","The joint automated repository for various integrated simulations (JARVIS) for data-driven materials design | Atomistic Line Graph Neural Network for improved materials property predictions","Choudhary et al. | Choudhary & DeCost",2020 | 2021,TR6CHAD2 | U9NHTD8R,RESOLVED_MULTI
combined_report,VII.4 Why oxide is easier,"[CITE: Choudhary et al. 2024 — JARVIS-Leaderboard]","JARVIS-Leaderboard: a large scale benchmark of materials design methods","Choudhary et al.",2024,ZNSBRAGX,RESOLVED
combined_report,VII.5 Why nitride is harder,"[CITE: Omee et al. 2024; Li et al. 2025 — OOD; Hu et al. 2024]","Structure-based out-of-distribution (OOD) materials property prediction: a benchmark study | Probing out-of-distribution generalization in machine learning for materials | Realistic material property prediction using domain adaptation based machine learning","Omee et al. | Li et al. (Kangming) | Hu et al.",2024 | 2025 | 2024,VNA4JJ3A | QGDLHVAF | NLBNY4TV,RESOLVED_MULTI
combined_report,VII.6 What the embedding analysis adds beyond performance curves,"[CITE: Omee et al. 2024; Li et al. 2025 — OOD; Li et al. 2025 — adversarial]","Structure-based out-of-distribution (OOD) materials property prediction: a benchmark study | Probing out-of-distribution generalization in machine learning for materials | Out-of-Distribution Material Property Prediction Using Adversarial Learning","Omee et al. | Li et al. (Kangming) | Li et al. (Qinyang)",2024 | 2025 | 2025,VNA4JJ3A | QGDLHVAF | 7STQCC9U,RESOLVED_MULTI
combined_report,VII.6 What the embedding analysis adds beyond performance curves,"[CITE: Omee et al. 2024; Li et al. 2025 — adversarial]","Structure-based out-of-distribution (OOD) materials property prediction: a benchmark study | Out-of-Distribution Material Property Prediction Using Adversarial Learning","Omee et al. | Li et al. (Qinyang)",2024 | 2025,VNA4JJ3A | 7STQCC9U,RESOLVED_MULTI
combined_report,VII.6 What the embedding analysis adds beyond performance curves,"[CITE: van der Maaten & Hinton 2008; McInnes et al. 2018]","Visualizing Data using t-SNE | UMAP: Uniform Manifold Approximation and Projection for Dimension Reduction","van der Maaten & Hinton | McInnes et al.",2008 | 2018,HQBXJ4GH | N7UREDXA,NEEDS_REVIEW
combined_report,VII.7 Practical implications,"[CITE: Lee & Asahi 2021; Kim et al. 2024]","Transfer learning for materials informatics using crystal graph convolutional neural network | Predicting melting temperature of inorganic crystals via crystal graph neural network enhanced by transfer learning","Lee & Asahi | Kim et al.",2021 | 2024,EIITR8T3 | E9PT9HW4,RESOLVED_MULTI
