artifact_id,category,artifact_kind,namespace_role,namespace,setting_scope,canonical_status,main_text_status,path,secondary_path_or_manifest,notes
S1_FS_02,from_scratch,comparison_plot_figures,main_results,Results_Hyperparameter_Set_1,epochs=50; batch_size=16; learning_rate=0.0001,canonical_main,main_text_candidate,reports/Hyperparameter Set 1/Comparison Plots/,reports/Hyperparameter Set 1/Summaries/From Scratch/week3_fromscratch_manifest.json,Oxide and nitride comparison plots versus zero-shot.
S1_FS_03,from_scratch,training_curve_manifest,main_results,Results_Hyperparameter_Set_1,epochs=50; batch_size=16; learning_rate=0.0001,canonical_main,appendix_support,reports/Hyperparameter Set 1/Training Curves/From Scratch/training_curve_manifest.csv,,Twenty per-run from-scratch training curves.
S2_FT_01,fine_tuning,summary_bundle,robustness_comparison,Results_Hyperparameter_Set_2,epochs=300; batch_size=64; learning_rate=0.001,comparison_only,robustness_only,reports/Hyperparameter Set 2/Summaries/Finetuning/finetune_summary_by_N.csv,reports/Hyperparameter Set 2/Summaries/Finetuning/finetune_runs.csv; reports/Hyperparameter Set 2/Summaries/Finetuning/finetune_summary_wide.csv,Complete comparison namespace for ALIGNN-recommended hyperparameters.
S2_FT_02,fine_tuning,learning_curve_figures,robustness_comparison,Results_Hyperparameter_Set_2,epochs=300; batch_size=64; learning_rate=0.001,comparison_only,robustness_only,reports/Hyperparameter Set 2/Learning Curves/,reports/Hyperparameter Set 2/Summaries/Finetuning/week2_summary_manifest.json,Use only for robustness or hyperparameter sensitivity.
S2_FT_03,fine_tuning,parity_plot_manifest,robustness_comparison,Results_Hyperparameter_Set_2,epochs=300; batch_size=64; learning_rate=0.001,comparison_only,appendix_support,reports/Hyperparameter Set 2/Parity Plots/parity_plot_manifest.csv,reports/Hyperparameter Set 2/Parity Plots/parity_plot_manifest.json,Twelve family-by-N parity plots in the Set 2 namespace.
S2_FS_01,from_scratch,summary_bundle,robustness_comparison,Results_Hyperparameter_Set_2,epochs=300; batch_size=64; learning_rate=0.001,comparison_only,robustness_only,reports/Hyperparameter Set 2/Summaries/From Scratch/fromscratch_summary.csv,reports/Hyperparameter Set 2/Summaries/From Scratch/fromscratch_runs.csv; reports/Hyperparameter Set 2/Summaries/From Scratch/week3_fromscratch_manifest.json,Complete Set 2 from-scratch baseline bundle.
S2_FS_02,from_scratch,comparison_plot_figures,robustness_comparison,Results_Hyperparameter_Set_2,epochs=300; batch_size=64; learning_rate=0.001,comparison_only,robustness_only,reports/Hyperparameter Set 2/Comparison Plots/,reports/Hyperparameter Set 2/Summaries/From Scratch/week3_fromscratch_manifest.json,Use only for robustness or hyperparameter sensitivity.
S2_FS_03,from_scratch,training_curve_manifest,robustness_comparison,Results_Hyperparameter_Set_2,epochs=300; batch_size=64; learning_rate=0.001,comparison_only,appendix_support,reports/Hyperparameter Set 2/Training Curves/From Scratch/training_curve_manifest.csv,,Twenty per-run Set 2 from-scratch training curves.
S3_FT_01,fine_tuning,summary_bundle,robustness_comparison,Results_Hyperparameter_Set_3,epochs=100; batch_size=32; learning_rate=0.00005,comparison_only,robustness_only,reports/Hyperparameter Set 3/Summaries/Finetuning/finetune_summary_by_N.csv,reports/Hyperparameter Set 3/Summaries/Finetuning/finetune_runs.csv; reports/Hyperparameter Set 3/Summaries/Finetuning/finetune_summary_wide.csv,Complete low-learning-rate comparison namespace.
S3_FT_02,fine_tuning,learning_curve_figures,robustness_comparison,Results_Hyperparameter_Set_3,epochs=100; batch_size=32; learning_rate=0.00005,comparison_only,robustness_only,reports/Hyperparameter Set 3/Learning Curves/,reports/Hyperparameter Set 3/Summaries/Finetuning/week2_summary_manifest.json,Use only for robustness or hyperparameter sensitivity.
S3_FT_03,fine_tuning,parity_plot_manifest,robustness_comparison,Results_Hyperparameter_Set_3,epochs=100; batch_size=32; learning_rate=0.00005,comparison_only,appendix_support,reports/Hyperparameter Set 3/Parity Plots/parity_plot_manifest.csv,reports/Hyperparameter Set 3/Parity Plots/parity_plot_manifest.json,Twelve family-by-N parity plots in the Set 3 namespace.
S3_FS_01,from_scratch,summary_bundle,robustness_comparison,Results_Hyperparameter_Set_3,epochs=100; batch_size=32; learning_rate=0.00005,comparison_only,robustness_only,reports/Hyperparameter Set 3/Summaries/From Scratch/fromscratch_summary.csv,reports/Hyperparameter Set 3/Summaries/From Scratch/fromscratch_runs.csv; reports/Hyperparameter Set 3/Summaries/From Scratch/week3_fromscratch_manifest.json,Complete Set 3 from-scratch baseline bundle.
S3_FS_02,from_scratch,comparison_plot_figures,robustness_comparison,Results_Hyperparameter_Set_3,epochs=100; batch_size=32; learning_rate=0.00005,comparison_only,robustness_only,reports/Hyperparameter Set 3/Comparison Plots/,reports/Hyperparameter Set 3/Summaries/From Scratch/week3_fromscratch_manifest.json,Use only for robustness or hyperparameter sensitivity.
S3_FS_03,from_scratch,training_curve_manifest,robustness_comparison,Results_Hyperparameter_Set_3,epochs=100; batch_size=32; learning_rate=0.00005,comparison_only,appendix_support,reports/Hyperparameter Set 3/Training Curves/From Scratch/training_curve_manifest.csv,,Twenty per-run Set 3 from-scratch training curves. Set 3 is less convenient for error-linking because dataset_root folders were not duplicated locally.
EA_01,embedding_analysis,final_figure_bundle,main_results,reports/week4_embedding_analysis,pretrained_embedding_analysis,canonical_main,main_text_candidate,reports/week4_embedding_analysis/final_figures/,reports/week4_embedding_analysis/README.md,Curated Figure 6 panels plus sensitivity appendix figures.
EA_02,embedding_analysis,primary_quant_tables,main_results,reports/week4_embedding_analysis,pretrained_embedding_analysis,canonical_main,main_text_candidate,reports/week4_embedding_analysis/tables/family_separation_metrics.csv,reports/week4_embedding_analysis/tables/nitride_distance_error_stats.csv; reports/week4_embedding_analysis/subset_counts.csv,Primary quantitative evidence for family separation and domain-shift tests.
EA_03,embedding_analysis,detail_tables,main_results,reports/week4_embedding_analysis,pretrained_embedding_analysis,canonical_main,appendix_support,reports/week4_embedding_analysis/tables/nitride_distance_error_by_structure.csv,reports/week4_embedding_analysis/tables/pca_explained_variance.csv; reports/week4_embedding_analysis/tables/element_embedding_property_correlations.csv,Detailed per-structure and auxiliary embedding tables.
EA_04,embedding_analysis,full_figure_collections,main_results,reports/week4_embedding_analysis,pretrained_embedding_analysis,canonical_main,appendix_support,reports/week4_embedding_analysis/figures/,reports/week4_embedding_analysis/final_figures/,Full PCA t-SNE UMAP distance and element appendix figure collections.
HIST_01,historical_reports,legacy_report_bundle,historical_provenance,reports/week2,pre_reorganized_week2_bundle,noncanonical,provenance_only,reports/week2/,,Historical fine-tuning bundle retained for provenance only.
HIST_02,historical_reports,provenance_bundle,historical_provenance,reports/provenance/colab,colab_import_bundles,noncanonical,provenance_only,reports/provenance/colab/,,Frozen Colab-era bundles retained for auditability only.
