figure_id,category,namespace_role,namespace,family_or_scope,main_text_status,preferred_path,alternate_path_or_manifest,source_evidence,notes
FIG_S2_COMP_NITRIDE,comparison_plot,robustness_comparison,Results_Hyperparameter_Set_2,nitride,robustness_only,reports/Hyperparameter Set 2/Comparison Plots/Nitride Comparison Plot - Hyperparameter Set 2.png,reports/Hyperparameter Set 2/Comparison Plots/Nitride Comparison Plot - Hyperparameter Set 2.pdf,reports/Hyperparameter Set 2/Summaries/From Scratch/fromscratch_summary.csv,Robustness-only nitride comparison plot for Set 2.
FIG_S2_PARITY_COLLECTION,parity_plot_collection,robustness_comparison,Results_Hyperparameter_Set_2,oxide+nitride_family_by_N,appendix_support,reports/Hyperparameter Set 2/Parity Plots/parity_plot_manifest.csv,reports/Hyperparameter Set 2/Parity Plots/parity_plot_manifest.json,reports/Hyperparameter Set 2/Summaries/Finetuning/finetune_runs.csv,Twelve Set 2 parity plots.
FIG_S2_FT_CURVE_COLLECTION,training_curve_collection,robustness_comparison,Results_Hyperparameter_Set_2,finetuning_runs,appendix_support,reports/Hyperparameter Set 2/Training Curves/Finetuning/training_curve_manifest.csv,,reports/Hyperparameter Set 2/Summaries/Finetuning/finetune_runs.csv,Sixty Set 2 fine-tuning training-curve figure pairs.
FIG_S2_FS_CURVE_COLLECTION,training_curve_collection,robustness_comparison,Results_Hyperparameter_Set_2,fromscratch_runs,appendix_support,reports/Hyperparameter Set 2/Training Curves/From Scratch/training_curve_manifest.csv,,reports/Hyperparameter Set 2/Summaries/From Scratch/fromscratch_runs.csv,Twenty Set 2 from-scratch training-curve figure pairs.
FIG_S3_LC_OXIDE,learning_curve,robustness_comparison,Results_Hyperparameter_Set_3,oxide,robustness_only,reports/Hyperparameter Set 3/Learning Curves/Oxide Learning Curve - Hyperparameter Set 3.png,reports/Hyperparameter Set 3/Learning Curves/Oxide Learning Curve - Hyperparameter Set 3.pdf,reports/Hyperparameter Set 3/Summaries/Finetuning/finetune_summary_by_N.csv,Robustness-only oxide learning curve for Set 3.
FIG_S3_LC_NITRIDE,learning_curve,robustness_comparison,Results_Hyperparameter_Set_3,nitride,robustness_only,reports/Hyperparameter Set 3/Learning Curves/Nitride Learning Curve - Hyperparameter Set 3.png,reports/Hyperparameter Set 3/Learning Curves/Nitride Learning Curve - Hyperparameter Set 3.pdf,reports/Hyperparameter Set 3/Summaries/Finetuning/finetune_summary_by_N.csv,Robustness-only nitride learning curve for Set 3.
FIG_S3_COMP_OXIDE,comparison_plot,robustness_comparison,Results_Hyperparameter_Set_3,oxide,robustness_only,reports/Hyperparameter Set 3/Comparison Plots/Oxide Comparison Plot - Hyperparameter Set 3.png,reports/Hyperparameter Set 3/Comparison Plots/Oxide Comparison Plot - Hyperparameter Set 3.pdf,reports/Hyperparameter Set 3/Summaries/From Scratch/fromscratch_summary.csv,Robustness-only oxide comparison plot for Set 3.
FIG_S3_COMP_NITRIDE,comparison_plot,robustness_comparison,Results_Hyperparameter_Set_3,nitride,robustness_only,reports/Hyperparameter Set 3/Comparison Plots/Nitride Comparison Plot - Hyperparameter Set 3.png,reports/Hyperparameter Set 3/Comparison Plots/Nitride Comparison Plot - Hyperparameter Set 3.pdf,reports/Hyperparameter Set 3/Summaries/From Scratch/fromscratch_summary.csv,Robustness-only nitride comparison plot for Set 3.
FIG_S3_PARITY_COLLECTION,parity_plot_collection,robustness_comparison,Results_Hyperparameter_Set_3,oxide+nitride_family_by_N,appendix_support,reports/Hyperparameter Set 3/Parity Plots/parity_plot_manifest.csv,reports/Hyperparameter Set 3/Parity Plots/parity_plot_manifest.json,reports/Hyperparameter Set 3/Summaries/Finetuning/finetune_runs.csv,Twelve Set 3 parity plots.
FIG_S3_FT_CURVE_COLLECTION,training_curve_collection,robustness_comparison,Results_Hyperparameter_Set_3,finetuning_runs,appendix_support,reports/Hyperparameter Set 3/Training Curves/Finetuning/training_curve_manifest.csv,,reports/Hyperparameter Set 3/Summaries/Finetuning/finetune_runs.csv,Sixty Set 3 fine-tuning training-curve figure pairs.
FIG_S3_FS_CURVE_COLLECTION,training_curve_collection,robustness_comparison,Results_Hyperparameter_Set_3,fromscratch_runs,appendix_support,reports/Hyperparameter Set 3/Training Curves/From Scratch/training_curve_manifest.csv,,reports/Hyperparameter Set 3/Summaries/From Scratch/fromscratch_runs.csv,Twenty Set 3 from-scratch training-curve figure pairs.
FIG_EA_6A,embedding_projection,main_results,reports/week4_embedding_analysis,balanced_pool_last_alignn_pool,main_text_candidate,reports/week4_embedding_analysis/final_figures/figure6a_pca_family.png,reports/week4_embedding_analysis/final_figures/figure6a_pca_family.pdf,reports/week4_embedding_analysis/tables/family_separation_metrics.csv,Curated PCA family-separation panel.
FIG_EA_6B,embedding_projection,main_results,reports/week4_embedding_analysis,balanced_pool_last_alignn_pool,main_text_candidate,reports/week4_embedding_analysis/final_figures/figure6b_tsne_family.png,reports/week4_embedding_analysis/final_figures/figure6b_tsne_family.pdf,reports/week4_embedding_analysis/tables/family_separation_metrics.csv,Curated t-SNE family-separation panel.
FIG_EA_6C,embedding_projection,main_results,reports/week4_embedding_analysis,balanced_pool_last_alignn_pool,main_text_candidate,reports/week4_embedding_analysis/final_figures/figure6c_umap_family.png,reports/week4_embedding_analysis/final_figures/figure6c_umap_family.pdf,reports/week4_embedding_analysis/tables/family_separation_metrics.csv,Curated UMAP family-separation panel.
FIG_EA_6D,embedding_distance_error,main_results,reports/week4_embedding_analysis,nitride_test_last_alignn_pool,main_text_candidate,reports/week4_embedding_analysis/final_figures/figure6d_nitride_error_vs_oxide_distance.png,reports/week4_embedding_analysis/final_figures/figure6d_nitride_error_vs_oxide_distance.pdf,reports/week4_embedding_analysis/tables/nitride_distance_error_stats.csv,Curated domain-shift hypothesis panel.
FIG_EA_APP_TSNE15,embedding_sensitivity,main_results,reports/week4_embedding_analysis,tsne_perplexity15,appendix_only,reports/week4_embedding_analysis/final_figures/appendix_tsne_family_perplexity15.png,reports/week4_embedding_analysis/final_figures/appendix_tsne_family_perplexity15.pdf,reports/week4_embedding_analysis/README.md,Appendix sensitivity figure.
FIG_EA_APP_TSNE50,embedding_sensitivity,main_results,reports/week4_embedding_analysis,tsne_perplexity50,appendix_only,reports/week4_embedding_analysis/final_figures/appendix_tsne_family_perplexity50.png,reports/week4_embedding_analysis/final_figures/appendix_tsne_family_perplexity50.pdf,reports/week4_embedding_analysis/README.md,Appendix sensitivity figure.
FIG_EA_APP_UMAP15,embedding_sensitivity,main_results,reports/week4_embedding_analysis,umap_neighbors15,appendix_only,reports/week4_embedding_analysis/final_figures/appendix_umap_family_neighbors15.png,reports/week4_embedding_analysis/final_figures/appendix_umap_family_neighbors15.pdf,reports/week4_embedding_analysis/README.md,Appendix sensitivity figure.
FIG_EA_APP_UMAP50,embedding_sensitivity,main_results,reports/week4_embedding_analysis,umap_neighbors50,appendix_only,reports/week4_embedding_analysis/final_figures/appendix_umap_family_neighbors50.png,reports/week4_embedding_analysis/final_figures/appendix_umap_family_neighbors50.pdf,reports/week4_embedding_analysis/README.md,Appendix sensitivity figure.
FIG_EA_PCA_COLLECTION,embedding_collection,main_results,reports/week4_embedding_analysis,pca_collection,appendix_support,reports/week4_embedding_analysis/figures/pca/,,reports/week4_embedding_analysis/tables/pca_explained_variance.csv,Twenty-four PCA figure files.
FIG_EA_TSNE_COLLECTION,embedding_collection,main_results,reports/week4_embedding_analysis,tsne_collection,appendix_support,reports/week4_embedding_analysis/figures/tsne/,,reports/week4_embedding_analysis/README.md,Seventy-two t-SNE figure files.
FIG_EA_UMAP_COLLECTION,embedding_collection,main_results,reports/week4_embedding_analysis,umap_collection,appendix_support,reports/week4_embedding_analysis/figures/umap/,,reports/week4_embedding_analysis/README.md,Seventy-two UMAP figure files.
FIG_EA_DISTANCE_COLLECTION,embedding_collection,main_results,reports/week4_embedding_analysis,distance_vs_error_collection,appendix_support,reports/week4_embedding_analysis/figures/distance_vs_error/,,reports/week4_embedding_analysis/tables/nitride_distance_error_stats.csv,Thirty-six raw-space distance-error figure files.
FIG_EA_ELEMENT_COLLECTION,embedding_collection,main_results,reports/week4_embedding_analysis,element_appendix_collection,appendix_support,reports/week4_embedding_analysis/figures/element_appendix/,,reports/week4_embedding_analysis/tables/element_embedding_property_correlations.csv,Six optional element-embedding appendix figures.
