jid,split,target,target_key_used,filename,formula,n_atoms,elements,unique_elements,has_O,has_N,is_oxide,is_nitride,is_oxynitride
JVASP-47962,train,-2.67509,formation_energy_peratom,POSCAR-JVASP-47962.vasp,Li2VO2F,6,Li;Li;V;O;O;F,F;Li;O;V,True,False,True,False,False
JVASP-1879,train,-2.26988,formation_energy_peratom,POSCAR-JVASP-1879.vasp,NaVO2,4,Na;V;O;O,Na;O;V,True,False,True,False,False
JVASP-18433,train,-1.44752,formation_energy_peratom,POSCAR-JVASP-18433.vasp,LiNiO2,4,Li;Ni;O;O,Li;Ni;O,True,False,True,False,False
JVASP-97985,train,-1.13228,formation_energy_peratom,POSCAR-JVASP-97985.vasp,SnHgO3,10,Sn;Sn;Hg;Hg;O;O;O;O;O;O,Hg;O;Sn,True,False,True,False,False
JVASP-32197,train,-0.23818,formation_energy_peratom,POSCAR-JVASP-32197.vasp,HgHClO4,28,Hg;Hg;Hg;Hg;H;H;H;H;Cl;Cl;Cl;Cl;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O,Cl;H;Hg;O,True,False,True,False,False
JVASP-43842,train,-2.68429,formation_energy_peratom,POSCAR-JVASP-43842.vasp,V6O7F5,18,V;V;V;V;V;V;O;O;O;O;O;O;O;F;F;F;F;F,F;O;V,True,False,True,False,False
JVASP-87903,train,-2.88803,formation_energy_peratom,POSCAR-JVASP-87903.vasp,BaSm2CoO5,9,Ba;Sm;Sm;Co;O;O;O;O;O,Ba;Co;O;Sm,True,False,True,False,False
JVASP-49773,train,-2.82215,formation_energy_peratom,POSCAR-JVASP-49773.vasp,LiTaO3,10,Li;Li;Ta;Ta;O;O;O;O;O;O,Li;O;Ta,True,False,True,False,False
JVASP-3534,train,-1.39849,formation_energy_peratom,POSCAR-JVASP-3534.vasp,BiClO,6,Bi;Bi;Cl;Cl;O;O,Bi;Cl;O,True,False,True,False,False
JVASP-43424,train,-1.70054,formation_energy_peratom,POSCAR-JVASP-43424.vasp,Li2MnCuO4,16,Li;Li;Li;Li;Mn;Mn;Cu;Cu;O;O;O;O;O;O;O;O,Cu;Li;Mn;O,True,False,True,False,False
JVASP-3252,train,-3.24311,formation_energy_peratom,POSCAR-JVASP-3252.vasp,Sm2SeO2,5,Sm;Sm;Se;O;O,O;Se;Sm,True,False,True,False,False
JVASP-48383,train,-1.99266,formation_energy_peratom,POSCAR-JVASP-48383.vasp,NaFePO4,14,Na;Na;Fe;Fe;P;P;O;O;O;O;O;O;O;O,Fe;Na;O;P,True,False,True,False,False
JVASP-53071,train,-2.06549,formation_energy_peratom,POSCAR-JVASP-53071.vasp,MgIn2O4,14,Mg;Mg;In;In;In;In;O;O;O;O;O;O;O;O,In;Mg;O,True,False,True,False,False
JVASP-50006,train,-2.83629,formation_energy_peratom,POSCAR-JVASP-50006.vasp,RbTaO3,5,Rb;Ta;O;O;O,O;Rb;Ta,True,False,True,False,False
JVASP-98438,train,-0.69247,formation_energy_peratom,POSCAR-JVASP-98438.vasp,PH5N2O4,48,P;P;P;P;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;N;N;N;N;N;N;N;N;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O,H;N;O;P,True,True,True,False,True
JVASP-52881,train,-2.50095,formation_energy_peratom,POSCAR-JVASP-52881.vasp,K3CaP2HO8,15,K;K;K;Ca;P;P;H;O;O;O;O;O;O;O;O,Ca;H;K;O;P,True,False,True,False,False
JVASP-98354,train,-3.27649,formation_energy_peratom,POSCAR-JVASP-98354.vasp,Ba9Y2Si6O24,41,Ba;Ba;Ba;Ba;Ba;Ba;Ba;Ba;Ba;Y;Y;Si;Si;Si;Si;Si;Si;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O,Ba;O;Si;Y,True,False,True,False,False
JVASP-42398,train,-2.23094,formation_energy_peratom,POSCAR-JVASP-42398.vasp,Li2FeO2F,12,Li;Li;Li;Li;Fe;Fe;O;O;O;O;F;F,F;Fe;Li;O,True,False,True,False,False
JVASP-43523,train,-2.28643,formation_energy_peratom,POSCAR-JVASP-43523.vasp,Li4VCr3O8,16,Li;Li;Li;Li;V;Cr;Cr;Cr;O;O;O;O;O;O;O;O,Cr;Li;O;V,True,False,True,False,False
JVASP-50107,train,-3.31305,formation_energy_peratom,POSCAR-JVASP-50107.vasp,Tb2SeO2,5,Tb;Tb;Se;O;O,O;Se;Tb,True,False,True,False,False
JVASP-91608,train,-2.43793,formation_energy_peratom,POSCAR-JVASP-91608.vasp,Mg3NiO4,8,Mg;Mg;Mg;Ni;O;O;O;O,Mg;Ni;O,True,False,True,False,False
JVASP-48745,train,-1.94734,formation_energy_peratom,POSCAR-JVASP-48745.vasp,LiVCuO4,14,Li;Li;V;V;Cu;Cu;O;O;O;O;O;O;O;O,Cu;Li;O;V,True,False,True,False,False
JVASP-97853,train,-1.94364,formation_energy_peratom,POSCAR-JVASP-97853.vasp,Sn3PO4F3,11,Sn;Sn;Sn;P;O;O;O;O;F;F;F,F;O;P;Sn,True,False,True,False,False
JVASP-48232,train,-1.77785,formation_energy_peratom,POSCAR-JVASP-48232.vasp,LiMn7O12,20,Li;Mn;Mn;Mn;Mn;Mn;Mn;Mn;O;O;O;O;O;O;O;O;O;O;O;O,Li;Mn;O,True,False,True,False,False
JVASP-50396,train,-2.59193,formation_energy_peratom,POSCAR-JVASP-50396.vasp,Zr2Bi2O7,22,Zr;Zr;Zr;Zr;Bi;Bi;Bi;Bi;O;O;O;O;O;O;O;O;O;O;O;O;O;O,Bi;O;Zr,True,False,True,False,False
JVASP-88009,train,-0.82599,formation_energy_peratom,POSCAR-JVASP-88009.vasp,WI3O,20,W;W;W;W;I;I;I;I;I;I;I;I;I;I;I;I;O;O;O;O,I;O;W,True,False,True,False,False
JVASP-13907,train,-3.08933,formation_energy_peratom,POSCAR-JVASP-13907.vasp,Sr5P3ClO12,42,Sr;Sr;Sr;Sr;Sr;Sr;Sr;Sr;Sr;Sr;P;P;P;P;P;P;Cl;Cl;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O,Cl;O;P;Sr,True,False,True,False,False
JVASP-88825,train,-1.14237,formation_energy_peratom,POSCAR-JVASP-88825.vasp,RbHSeO4,28,Rb;Rb;Rb;Rb;H;H;H;H;Se;Se;Se;Se;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O,H;O;Rb;Se,True,False,True,False,False
JVASP-42657,train,-1.39242,formation_energy_peratom,POSCAR-JVASP-42657.vasp,FeO2,6,Fe;Fe;O;O;O;O,Fe;O,True,False,True,False,False
JVASP-4492,train,-3.53591,formation_energy_peratom,POSCAR-JVASP-4492.vasp,LuTaO4,12,Lu;Lu;Ta;Ta;O;O;O;O;O;O;O;O,Lu;O;Ta,True,False,True,False,False
JVASP-97576,train,-3.24073,formation_energy_peratom,POSCAR-JVASP-97576.vasp,Ca4Al6SO12,23,Ca;Ca;Ca;Ca;Al;Al;Al;Al;Al;Al;S;O;O;O;O;O;O;O;O;O;O;O;O,Al;Ca;O;S,True,False,True,False,False
JVASP-98799,train,-0.76411,formation_energy_peratom,POSCAR-JVASP-98799.vasp,VH16C6N6O7F2,76,V;V;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;C;C;C;C;C;C;C;C;C;C;C;C;N;N;N;N;N;N;N;N;N;N;N;N;O;O;O;O;O;O;O;O;O;O;O;O;O;O;F;F;F;F,C;F;H;N;O;V,True,True,True,False,True
JVASP-52341,train,-1.86145,formation_energy_peratom,POSCAR-JVASP-52341.vasp,SbOF,12,Sb;Sb;Sb;Sb;O;O;O;O;F;F;F;F,F;O;Sb,True,False,True,False,False
JVASP-42804,train,-2.89723,formation_energy_peratom,POSCAR-JVASP-42804.vasp,V4O3F9,16,V;V;V;V;O;O;O;F;F;F;F;F;F;F;F;F,F;O;V,True,False,True,False,False
JVASP-97500,train,-0.19644,formation_energy_peratom,POSCAR-JVASP-97500.vasp,CoIN2O2,24,Co;Co;Co;Co;I;I;I;I;N;N;N;N;N;N;N;N;O;O;O;O;O;O;O;O,Co;I;N;O,True,True,True,False,True
JVASP-15431,train,-1.55369,formation_energy_peratom,POSCAR-JVASP-15431.vasp,Li2CuO2,5,Li;Li;Cu;O;O,Cu;Li;O,True,False,True,False,False
JVASP-48462,train,-2.49145,formation_energy_peratom,POSCAR-JVASP-48462.vasp,Li3CoOF3,8,Li;Li;Li;Co;O;F;F;F,Co;F;Li;O,True,False,True,False,False
JVASP-47623,train,-1.49471,formation_energy_peratom,POSCAR-JVASP-47623.vasp,LiFeCoO4,28,Li;Li;Li;Li;Fe;Fe;Fe;Fe;Co;Co;Co;Co;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O,Co;Fe;Li;O,True,False,True,False,False
JVASP-42721,train,-2.02306,formation_energy_peratom,POSCAR-JVASP-42721.vasp,LiFe2O2F3,16,Li;Li;Fe;Fe;Fe;Fe;O;O;O;O;F;F;F;F;F;F,F;Fe;Li;O,True,False,True,False,False
JVASP-49949,train,-3.58436,formation_energy_peratom,POSCAR-JVASP-49949.vasp,Ce2Nd2O7,22,Ce;Ce;Ce;Ce;Nd;Nd;Nd;Nd;O;O;O;O;O;O;O;O;O;O;O;O;O;O,Ce;Nd;O,True,False,True,False,False
JVASP-86026,train,-2.66858,formation_energy_peratom,POSCAR-JVASP-86026.vasp,La4Ni3O8,15,La;La;La;La;Ni;Ni;Ni;O;O;O;O;O;O;O;O,La;Ni;O,True,False,True,False,False
JVASP-88347,train,-1.15637,formation_energy_peratom,POSCAR-JVASP-88347.vasp,P6H24N6O19,55,P;P;P;P;P;P;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;N;N;N;N;N;N;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O,H;N;O;P,True,True,True,False,True
JVASP-38346,train,-1.81118,formation_energy_peratom,POSCAR-JVASP-38346.vasp,RbAlO3,5,Rb;Al;O;O;O,Al;O;Rb,True,False,True,False,False
JVASP-38540,train,-2.12237,formation_energy_peratom,POSCAR-JVASP-38540.vasp,LiYO3,5,Li;Y;O;O;O,Li;O;Y,True,False,True,False,False
JVASP-4591,train,-0.85133,formation_energy_peratom,POSCAR-JVASP-4591.vasp,Tl6TeO6,13,Tl;Tl;Tl;Tl;Tl;Tl;Te;O;O;O;O;O;O,O;Te;Tl,True,False,True,False,False
JVASP-86570,train,-1.59866,formation_energy_peratom,POSCAR-JVASP-86570.vasp,RePbClO4,14,Re;Re;Pb;Pb;Cl;Cl;O;O;O;O;O;O;O;O,Cl;O;Pb;Re,True,False,True,False,False
JVASP-87207,train,-1.13327,formation_energy_peratom,POSCAR-JVASP-87207.vasp,MnSe2O6,18,Mn;Mn;Se;Se;Se;Se;O;O;O;O;O;O;O;O;O;O;O;O,Mn;O;Se,True,False,True,False,False
JVASP-85922,train,-1.88116,formation_energy_peratom,POSCAR-JVASP-85922.vasp,Eu2I2O,10,Eu;Eu;Eu;Eu;I;I;I;I;O;O,Eu;I;O,True,False,True,False,False
JVASP-98932,train,-1.42011,formation_energy_peratom,POSCAR-JVASP-98932.vasp,NaH2SO4,64,Na;Na;Na;Na;Na;Na;Na;Na;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;S;S;S;S;S;S;S;S;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O,H;Na;O;S,True,False,True,False,False
JVASP-85852,train,-0.16218,formation_energy_peratom,POSCAR-JVASP-85852.vasp,Ag3O4,14,Ag;Ag;Ag;Ag;Ag;Ag;O;O;O;O;O;O;O;O,Ag;O,True,False,True,False,False
JVASP-88512,train,-2.33628,formation_energy_peratom,POSCAR-JVASP-88512.vasp,Nb2FeO6,36,Nb;Nb;Nb;Nb;Nb;Nb;Nb;Nb;Fe;Fe;Fe;Fe;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O,Fe;Nb;O,True,False,True,False,False
JVASP-86502,train,-3.55196,formation_energy_peratom,POSCAR-JVASP-86502.vasp,ThTi2O6,9,Th;Ti;Ti;O;O;O;O;O;O,O;Th;Ti,True,False,True,False,False
JVASP-38278,train,-0.67651,formation_energy_peratom,POSCAR-JVASP-38278.vasp,RbZnO3,5,Rb;Zn;O;O;O,O;Rb;Zn,True,False,True,False,False
JVASP-38694,train,-1.13947,formation_energy_peratom,POSCAR-JVASP-38694.vasp,NaSrO3,5,Na;Sr;O;O;O,Na;O;Sr,True,False,True,False,False
JVASP-38325,train,-0.67483,formation_energy_peratom,POSCAR-JVASP-38325.vasp,RbNiO3,5,Rb;Ni;O;O;O,Ni;O;Rb,True,False,True,False,False
JVASP-98615,train,-3.27414,formation_energy_peratom,POSCAR-JVASP-98615.vasp,Ca3La3B5O15,52,Ca;Ca;Ca;Ca;Ca;Ca;La;La;La;La;La;La;B;B;B;B;B;B;B;B;B;B;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O,B;Ca;La;O,True,False,True,False,False
JVASP-39448,train,-1.1063,formation_energy_peratom,POSCAR-JVASP-39448.vasp,RuPbO3,5,Ru;Pb;O;O;O,O;Pb;Ru,True,False,True,False,False
JVASP-107773,train,-2.77374,formation_energy_peratom,POSCAR-JVASP-107773.vasp,Ca3CdO4,8,Ca;Ca;Ca;Cd;O;O;O;O,Ca;Cd;O,True,False,True,False,False
JVASP-98439,train,-1.03375,formation_energy_peratom,POSCAR-JVASP-98439.vasp,CdH4S2O5,48,Cd;Cd;Cd;Cd;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;S;S;S;S;S;S;S;S;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O,Cd;H;O;S,True,False,True,False,False
JVASP-97854,train,-0.10368,formation_energy_peratom,POSCAR-JVASP-97854.vasp,AgNO3,10,Ag;Ag;N;N;O;O;O;O;O;O,Ag;N;O,True,True,True,False,True
JVASP-36857,train,-1.15603,formation_energy_peratom,POSCAR-JVASP-36857.vasp,MnAuO2,4,Mn;Au;O;O,Au;Mn;O,True,False,True,False,False
JVASP-36850,train,-1.21096,formation_energy_peratom,POSCAR-JVASP-36850.vasp,MnAgO2,4,Mn;Ag;O;O,Ag;Mn;O,True,False,True,False,False
JVASP-36853,train,-1.14822,formation_energy_peratom,POSCAR-JVASP-36853.vasp,MnAuO2,4,Mn;Au;O;O,Au;Mn;O,True,False,True,False,False
JVASP-97429,train,-2.03639,formation_energy_peratom,POSCAR-JVASP-97429.vasp,CdP2O6,36,Cd;Cd;Cd;Cd;P;P;P;P;P;P;P;P;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O,Cd;O;P,True,False,True,False,False
JVASP-37300,train,-2.02424,formation_energy_peratom,POSCAR-JVASP-37300.vasp,SrCaO3,5,Sr;Ca;O;O;O,Ca;O;Sr,True,False,True,False,False
JVASP-38181,train,-1.04267,formation_energy_peratom,POSCAR-JVASP-38181.vasp,KInO3,5,K;In;O;O;O,In;K;O,True,False,True,False,False
JVASP-38289,train,-1.14494,formation_energy_peratom,POSCAR-JVASP-38289.vasp,RbSrO3,5,Rb;Sr;O;O;O,O;Rb;Sr,True,False,True,False,False
JVASP-38327,train,-1.29606,formation_energy_peratom,POSCAR-JVASP-38327.vasp,RbCaO3,5,Rb;Ca;O;O;O,Ca;O;Rb,True,False,True,False,False
JVASP-48092,train,-2.01166,formation_energy_peratom,POSCAR-JVASP-48092.vasp,Mn3O4F2,18,Mn;Mn;Mn;Mn;Mn;Mn;O;O;O;O;O;O;O;O;F;F;F;F,F;Mn;O,True,False,True,False,False
JVASP-47532,train,-1.20979,formation_energy_peratom,POSCAR-JVASP-47532.vasp,Mn2FeO3,12,Mn;Mn;Mn;Mn;Fe;Fe;O;O;O;O;O;O,Fe;Mn;O,True,False,True,False,False
JVASP-22557,train,-1.39347,formation_energy_peratom,POSCAR-JVASP-22557.vasp,CrCuO2,4,Cr;Cu;O;O,Cr;Cu;O,True,False,True,False,False
JVASP-22671,train,-1.8573,formation_energy_peratom,POSCAR-JVASP-22671.vasp,NaCrO2,4,Na;Cr;O;O,Cr;Na;O,True,False,True,False,False
JVASP-89035,train,-1.70163,formation_energy_peratom,POSCAR-JVASP-89035.vasp,Tl2MoO4,14,Tl;Tl;Tl;Tl;Mo;Mo;O;O;O;O;O;O;O;O,Mo;O;Tl,True,False,True,False,False
JVASP-98291,train,-1.13115,formation_energy_peratom,POSCAR-JVASP-98291.vasp,H4PbC2O6,52,H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;Pb;Pb;Pb;Pb;C;C;C;C;C;C;C;C;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O,C;H;O;Pb,True,False,True,False,False
JVASP-97502,train,-0.36869,formation_energy_peratom,POSCAR-JVASP-97502.vasp,H3ClO5,36,H;H;H;H;H;H;H;H;H;H;H;H;Cl;Cl;Cl;Cl;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O,Cl;H;O,True,False,True,False,False
JVASP-43624,train,-1.13824,formation_energy_peratom,POSCAR-JVASP-43624.vasp,Rb2O,24,Rb;Rb;Rb;Rb;Rb;Rb;Rb;Rb;Rb;Rb;Rb;Rb;Rb;Rb;Rb;Rb;O;O;O;O;O;O;O;O,O;Rb,True,False,True,False,False
JVASP-43427,train,-1.19689,formation_energy_peratom,POSCAR-JVASP-43427.vasp,K2O,6,K;K;K;K;O;O,K;O,True,False,True,False,False
JVASP-49894,train,-3.33859,formation_energy_peratom,POSCAR-JVASP-49894.vasp,PrTiO3,5,Pr;Ti;O;O;O,O;Pr;Ti,True,False,True,False,False
JVASP-2017,train,-1.67424,formation_energy_peratom,POSCAR-JVASP-2017.vasp,LiCoO2,4,Li;Co;O;O,Co;Li;O,True,False,True,False,False
JVASP-42402,train,-1.91792,formation_energy_peratom,POSCAR-JVASP-42402.vasp,Li6TeO6,13,Li;Li;Li;Li;Li;Li;Te;O;O;O;O;O;O,Li;O;Te,True,False,True,False,False
JVASP-98355,train,-3.31129,formation_energy_peratom,POSCAR-JVASP-98355.vasp,BaAl4O7,48,Ba;Ba;Ba;Ba;Al;Al;Al;Al;Al;Al;Al;Al;Al;Al;Al;Al;Al;Al;Al;Al;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O,Al;Ba;O,True,False,True,False,False
JVASP-98801,train,-2.26979,formation_energy_peratom,POSCAR-JVASP-98801.vasp,V2CdP2O10,30,V;V;V;V;Cd;Cd;P;P;P;P;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O,Cd;O;P;V,True,False,True,False,False
JVASP-49776,train,-1.28752,formation_energy_peratom,POSCAR-JVASP-49776.vasp,Na3CuO2,12,Na;Na;Na;Na;Na;Na;Cu;Cu;O;O;O;O,Cu;Na;O,True,False,True,False,False
JVASP-98091,train,-2.21568,formation_energy_peratom,POSCAR-JVASP-98091.vasp,SrV6O11,36,Sr;Sr;V;V;V;V;V;V;V;V;V;V;V;V;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O,O;Sr;V,True,False,True,False,False
JVASP-50691,train,-2.57039,formation_energy_peratom,POSCAR-JVASP-50691.vasp,Li3TiP2O8,28,Li;Li;Li;Li;Li;Li;Ti;Ti;P;P;P;P;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O,Li;O;P;Ti,True,False,True,False,False
JVASP-47765,train,-1.5865,formation_energy_peratom,POSCAR-JVASP-47765.vasp,Li3Fe5O10,18,Li;Li;Li;Fe;Fe;Fe;Fe;Fe;O;O;O;O;O;O;O;O;O;O,Fe;Li;O,True,False,True,False,False
JVASP-3258,train,-3.3333,formation_energy_peratom,POSCAR-JVASP-3258.vasp,Ho2SeO2,5,Ho;Ho;Se;O;O,Ho;O;Se,True,False,True,False,False
JVASP-97338,train,-2.39113,formation_energy_peratom,POSCAR-JVASP-97338.vasp,SiP2O7,40,Si;Si;Si;Si;P;P;P;P;P;P;P;P;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O,O;P;Si,True,False,True,False,False
JVASP-50108,train,-2.99117,formation_energy_peratom,POSCAR-JVASP-50108.vasp,LuGaO3,10,Lu;Lu;Ga;Ga;O;O;O;O;O;O,Ga;Lu;O,True,False,True,False,False
JVASP-98616,train,-1.03692,formation_energy_peratom,POSCAR-JVASP-98616.vasp,ErH9C5N2O8,25,Er;H;H;H;H;H;H;H;H;H;C;C;C;C;C;N;N;O;O;O;O;O;O;O;O,C;Er;H;N;O,True,True,True,False,True
JVASP-97920,train,-1.82381,formation_energy_peratom,POSCAR-JVASP-97920.vasp,V2Te2O9,26,V;V;V;V;Te;Te;Te;Te;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O,O;Te;V,True,False,True,False,False
JVASP-98175,train,-2.33621,formation_energy_peratom,POSCAR-JVASP-98175.vasp,CaNiP2O7,22,Ca;Ca;Ni;Ni;P;P;P;P;O;O;O;O;O;O;O;O;O;O;O;O;O;O,Ca;Ni;O;P,True,False,True,False,False
JVASP-98556,train,-1.8134,formation_energy_peratom,POSCAR-JVASP-98556.vasp,FeMoO4,24,Fe;Fe;Fe;Fe;Mo;Mo;Mo;Mo;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O,Fe;Mo;O,True,False,True,False,False
JVASP-42660,train,-2.03054,formation_energy_peratom,POSCAR-JVASP-42660.vasp,Li2TiFe3O8,14,Li;Li;Ti;Fe;Fe;Fe;O;O;O;O;O;O;O;O,Fe;Li;O;Ti,True,False,True,False,False
JVASP-44065,train,-2.4262,formation_energy_peratom,POSCAR-JVASP-44065.vasp,VBO4,6,V;B;O;O;O;O,B;O;V,True,False,True,False,False
JVASP-50936,train,-2.85299,formation_energy_peratom,POSCAR-JVASP-50936.vasp,KNdO2,4,K;Nd;O;O,K;Nd;O,True,False,True,False,False
JVASP-50811,train,-3.08561,formation_energy_peratom,POSCAR-JVASP-50811.vasp,KTmO2,4,K;Tm;O;O,K;O;Tm,True,False,True,False,False
JVASP-90337,train,-2.19237,formation_energy_peratom,POSCAR-JVASP-90337.vasp,BaNdCo2O5,9,Ba;Nd;Co;Co;O;O;O;O;O,Ba;Co;Nd;O,True,False,True,False,False
JVASP-43844,train,-2.71502,formation_energy_peratom,POSCAR-JVASP-43844.vasp,Li4Ti3V5O16,28,Li;Li;Li;Li;Ti;Ti;Ti;V;V;V;V;V;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O,Li;O;Ti;V,True,False,True,False,False
